epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,668.394,2.08578,2.92906,1.71137,0.60794,0.19146,0.22252,0.10471,2.51862,10.099,2.23485,0.000236961,0.000236961,0.000236961
2,1260.8,1.85176,1.80951,1.60174,0.42388,0.28442,0.24227,0.10446,2.5879,2.8865,2.18904,0.000465556,0.000465556,0.000465556
3,1913.1,1.74559,1.60031,1.55521,0.48394,0.28789,0.2242,0.10352,2.60093,2.78956,2.20199,0.000684727,0.000684727,0.000684727
4,2592.45,1.65299,1.46847,1.50603,0.38719,0.33549,0.28955,0.12657,2.50839,2.5172,2.19555,0.000671588,0.000671588,0.000671588
5,3266.63,1.53847,1.30621,1.44369,0.50731,0.28601,0.27288,0.12302,2.46532,2.71224,2.15328,0.000657451,0.000657451,0.000657451
6,3928.5,1.41108,1.19559,1.36112,0.56936,0.30809,0.27461,0.1313,2.43411,2.57645,2.2158,0.000643314,0.000643314,0.000643314
7,4583.8,1.33767,1.09046,1.33366,0.3936,0.38281,0.29868,0.13945,2.43846,2.48387,2.15596,0.000629177,0.000629177,0.000629177
8,5247.97,1.26984,1.02921,1.2855,0.46699,0.38179,0.32351,0.14231,2.42036,2.50125,2.13845,0.00061504,0.00061504,0.00061504
9,5912.18,1.21671,0.97816,1.26195,0.54425,0.37104,0.33522,0.14956,2.41279,2.33238,2.28557,0.000600902,0.000600902,0.000600902
10,6591.83,1.1655,0.93486,1.23689,0.37159,0.43602,0.36034,0.15891,2.41543,2.33686,2.20128,0.000586765,0.000586765,0.000586765
11,7268.65,1.09046,0.87866,1.18929,0.64016,0.30975,0.33458,0.1451,2.37948,2.34233,2.11068,0.000572628,0.000572628,0.000572628
12,7925.67,1.04847,0.82994,1.16874,0.44271,0.4093,0.3746,0.16649,2.32831,2.25135,2.08155,0.000558491,0.000558491,0.000558491
13,8575.2,0.99919,0.80662,1.14684,0.39639,0.40861,0.32478,0.14642,2.34808,2.21343,2.14638,0.000544354,0.000544354,0.000544354
14,9227.56,0.98949,0.77689,1.13948,0.34414,0.44493,0.34371,0.1401,2.40351,2.37541,2.10566,0.000530216,0.000530216,0.000530216
15,9876.29,0.96659,0.75339,1.13614,0.34957,0.43368,0.38128,0.16649,2.33403,2.36891,2.1665,0.000516079,0.000516079,0.000516079
